,Lambda,Flux
246,6663.483213334214,124424.44383061925
247,6663.372805765688,125656.03928049185
248,6663.262398197163,125401.47983984879
249,6663.151990628638,125112.49429988148
250,6663.041583060111,126240.16458465824
251,6662.931175491586,125938.05400010532
252,6662.82076792306,126175.64673323264
253,6662.710360354535,126319.19923081003
254,6662.5999527860085,125729.4583905395
255,6662.489545217483,125149.766329436
256,6662.379137648958,126590.69280948435
257,6662.268730080432,126246.14182926141
258,6662.158322511907,126308.05598350876
259,6662.04791494338,124523.77772954066
260,6661.937507374855,125255.27581601053
261,6661.827099806329,126542.13581133792
262,6661.716692237804,126447.1824584616
263,6661.6062846692785,125037.50922852897
264,6661.495877100752,126273.83243805503
265,6661.385469532227,125072.61597370364
266,6661.275061963701,125313.41712713339
267,6661.164654395176,125386.39044255516
268,6661.05424682665,125363.05109579879
269,6660.943839258124,125591.79315884897
270,6660.833431689599,125112.27938585226
271,6660.723024121073,125413.24393012839
272,6660.6126165525475,126018.507768147
273,6660.502208984021,125041.00628162021
274,6660.391801415496,126605.10749734486
275,6660.281393846971,126712.75583812167
276,6660.170986278445,125327.37678180178
277,6660.060578709919,126290.45484602665
278,6659.950171141393,127018.52788185146
279,6659.839763572868,126000.561782691
280,6659.729356004342,127376.60095871179
281,6659.6189484358165,127260.40308114211
282,6659.508540867291,126860.87913120573
283,6659.398133298765,126400.28380302459
284,6659.28772573024,126372.51189303184
285,6659.177318161714,126103.37532510389
286,6659.066910593188,126367.01138425553
287,6658.956503024662,125942.79415170707
288,6658.846095456137,127314.02685398236
289,6658.735687887612,125435.08394165969
290,6658.6252803190855,126114.31794795366
291,6658.51487275056,126641.08761104665
292,6658.404465182034,127350.55898230801
293,6658.294057613509,127098.40134441567
294,6658.183650044983,127853.69237335309
295,6658.073242476457,127303.86588681534
296,6657.962834907932,127440.52095211663
297,6657.852427339406,127127.54108928805
298,6657.742019770881,127175.37463671906
299,6657.6316122023545,127368.20459582823
300,6657.521204633829,127620.0856397854
301,6657.410797065304,126709.44508337668
302,6657.300389496778,126389.28319834136
303,6657.189981928253,127213.2017737876
304,6657.079574359726,127471.3065557533
305,6656.969166791201,127233.30135571431
306,6656.858759222675,127735.66399399076
307,6656.74835165415,127333.80820315595
308,6656.637944085624,128005.37614813291
309,6656.527536517098,127510.7349704609
310,6656.417128948573,126778.60037733805
311,6656.306721380047,127638.21817925069
312,6656.196313811522,127733.45071822664
313,6656.085906242995,127904.97952602373
314,6655.97549867447,127386.7480982645
315,6655.865091105945,127638.13486158015
316,6655.754683537419,128346.77976854872
317,6655.644275968893,127438.8077619552
318,6655.533868400367,126530.6624401201
319,6655.423460831842,126241.73531792474
320,6655.313053263316,127548.81858500677
321,6655.202645694791,127391.78849792024
322,6655.092238126265,127419.56239621573
323,6654.981830557739,127502.54276577593
324,6654.871422989214,127514.07201176371
325,6654.761015420688,127394.55339740365
326,6654.6506078521625,127744.58883193409
327,6654.540200283636,126839.05551196124
328,6654.429792715111,127600.75139108745
329,6654.319385146586,128085.23529558393
330,6654.20897757806,128058.92691188343
331,6654.098570009534,127358.81350159265
332,6653.988162441008,126425.26906746259
333,6653.877754872483,127655.90043888359
334,6653.767347303958,126594.915640651
335,6653.6569397354315,127048.84449819684
336,6653.546532166906,128153.03062001454
337,6653.43612459838,126754.04702643113
338,6653.325717029855,127347.99141357365
339,6653.215309461329,127861.71797639829
340,6653.104901892803,126961.52962550386
341,6652.994494324278,127288.72435650673
342,6652.884086755752,127442.94745750865
343,6652.773679187227,127352.78121207535
344,6652.6632716187005,127590.05763340366
345,6652.552864050175,127951.99525157287
346,6652.442456481649,127533.11370294195
347,6652.332048913124,128268.2849438586
348,6652.2216413445985,127796.92780238335
349,6652.111233776072,128265.73737467876
350,6652.000826207547,126744.62690213694
351,6651.890418639021,127858.08205449035
352,6651.780011070496,128170.15181672349
353,6651.6696035019695,126990.15215882502
354,6651.559195933444,127085.79904989504
355,6651.448788364919,128253.88028086508
356,6651.338380796393,128004.79979305132
357,6651.227973227868,129132.82393562431
358,6651.117565659341,128528.50952459735
359,6651.007158090816,128451.45341472788
360,6650.89675052229,127716.13784870511
361,6650.786342953765,128298.66750261794
362,6650.675935385239,128093.56996361843
363,6650.565527816713,128725.8457488502
364,6650.455120248188,128041.06467682021
365,6650.344712679662,129248.49763317716
366,6650.234305111137,128611.25482840433
367,6650.12389754261,128095.94672114312
368,6650.013489974085,129152.67526436996
369,6649.90308240556,128049.98354546443
370,6649.792674837034,128805.91282847055
371,6649.682267268508,129476.1439726334
372,6649.571859699982,128056.79761709255
373,6649.461452131457,127876.78318490714
374,6649.351044562932,127423.43868103584
375,6649.240636994406,128899.92472530762
376,6649.13022942588,128176.42829247082
377,6649.019821857354,128508.87590505344
378,6648.909414288829,128609.64671929127
379,6648.799006720303,129222.57740203234
380,6648.688599151777,128474.87804097154
381,6648.578191583252,128737.73324885526
382,6648.467784014726,128563.5736944911
383,6648.357376446201,128466.34919027697
384,6648.246968877675,129270.29473677414
385,6648.136561309149,128717.96246940776
386,6648.026153740623,128513.99766774302
387,6647.915746172098,129262.4230071927
388,6647.805338603573,128835.54777159986
389,6647.6949310350465,128388.7726979394
390,6647.584523466521,127715.77931885693
391,6647.474115897995,127937.32603229812
392,6647.36370832947,127783.79796844657
393,6647.253300760944,128563.689289087
394,6647.142893192418,128562.02785503611
395,6647.032485623893,128664.06274442819
396,6646.922078055367,128617.40857538274
397,6646.811670486842,126688.79926661182
398,6646.7012629183155,128903.68289641765
399,6646.59085534979,128838.62327482583
400,6646.480447781264,129460.71660342737
401,6646.370040212739,129505.55053059025
402,6646.2596326442135,129426.21122880916
403,6646.149225075687,130023.07365602478
404,6646.038817507162,130026.13145955018
405,6645.928409938636,128840.4342599211
406,6645.818002370111,130357.1958512572
407,6645.707594801585,129373.61326957813
408,6645.597187233059,129526.06850373535
409,6645.486779664534,130193.9835221448
410,6645.376372096008,129275.2237310829
411,6645.2659645274825,129458.7005637943
412,6645.155556958956,129562.46163474773
413,6645.045149390431,129724.02209364827
414,6644.934741821906,128635.81957350913
415,6644.82433425338,129955.85947923613
416,6644.713926684854,130091.84508148214
417,6644.603519116328,129505.69111237484
418,6644.493111547803,129830.82402123931
419,6644.382703979277,128969.09293668816
420,6644.272296410752,129321.67705688227
421,6644.161888842226,129009.27987429363
422,6644.0514812737,129887.66371804675
423,6643.941073705175,130606.49311652247
424,6643.830666136649,129875.70787014609
425,6643.720258568123,128389.88729613188
426,6643.609850999597,130157.97413236504
427,6643.499443431072,129278.07614169332
428,6643.389035862547,128973.23091373385
429,6643.278628294021,130711.24005877972
430,6643.168220725495,130470.25103737606
431,6643.057813156969,129675.46761978304
432,6642.947405588444,129208.58091910052
433,6642.836998019918,130584.02617679698
434,6642.726590451392,128919.71029656802
435,6642.616182882867,129398.19603803432
436,6642.505775314341,129644.39511809498
437,6642.395367745816,129636.35815415382
438,6642.28496017729,129370.95480444025
439,6642.174552608764,130022.39054548353
440,6642.064145040239,130371.68324528715
441,6641.953737471713,129456.2177082503
442,6641.843329903188,129514.22765364198
443,6641.732922334661,129433.41059803129
444,6641.622514766136,129542.05730392407
445,6641.51210719761,130121.12660127852
446,6641.401699629085,129834.57003550704
447,6641.2912920605595,129124.93549667708
448,6641.180884492033,131077.70836035456
449,6641.070476923508,130530.90949501046
450,6640.960069354982,129886.08110414533
451,6640.849661786457,129836.45805178407
452,6640.7392542179305,130352.2532499391
453,6640.628846649405,129834.09656408009
454,6640.51843908088,130523.98595251264
455,6640.408031512354,130535.01151829587
456,6640.2976239438285,131444.14930557087
457,6640.187216375302,129943.83875030547
458,6640.076808806777,131278.0716440923
459,6639.966401238251,131158.02716267016
460,6639.855993669726,131362.2089208095
461,6639.7455861012,130720.51652531503
462,6639.635178532674,131177.83020039133
463,6639.524770964149,131071.67384534869
464,6639.414363395623,130324.27577544407
465,6639.3039558270975,130725.536182696
466,6639.193548258571,130794.15141187482
467,6639.083140690046,131380.373320246
468,6638.972733121521,130317.66561633053
469,6638.862325552995,130119.09824928196
470,6638.751917984469,131553.8484771773
471,6638.641510415943,130710.42119806787
472,6638.531102847418,131225.46533743053
473,6638.420695278892,131624.36910888646
474,6638.3102877103665,131591.1978832824
475,6638.199880141841,130535.03650443685
476,6638.089472573315,131059.61147650442
477,6637.97906500479,131609.320714995
478,6637.868657436264,131774.94413535856
479,6637.758249867738,131278.23356391498
480,6637.647842299213,131421.71737738262
481,6637.537434730687,131230.37534816458
482,6637.427027162162,131581.42549437072
483,6637.316619593636,132255.12170595233
484,6637.20621202511,131940.4911950754
485,6637.095804456584,131656.5806679259
486,6636.985396888059,131893.1251121468
487,6636.874989319534,131596.9380207526
488,6636.764581751007,131415.7909278602
489,6636.654174182482,131363.24833687133
490,6636.543766613956,131375.02987854066
491,6636.433359045431,131241.3520225598
492,6636.322951476905,132381.64047057324
493,6636.212543908379,131480.5631352848
494,6636.102136339854,131573.8100033261
495,6635.991728771328,132375.19866559928
496,6635.881321202803,132699.55868662614
497,6635.770913634276,132126.1545384582
498,6635.660506065751,131947.6575484453
499,6635.550098497225,132954.51799362214
500,6635.4396909287,132175.46115303753
501,6635.3292833601745,131469.2694147412
502,6635.218875791648,131479.04729915434
503,6635.108468223123,132674.73544795747
504,6634.998060654597,132561.4755793
505,6634.887653086072,131715.96933679175
506,6634.777245517545,132091.3024038791
507,6634.66683794902,132437.34266506057
508,6634.556430380495,132727.6010814193
509,6634.446022811969,132532.30243808203
510,6634.3356152434435,133113.96031140993
511,6634.225207674917,131816.2980095446
512,6634.114800106392,132856.88908539107
513,6634.004392537867,132648.8251840571
514,6633.893984969341,133256.61115208326
515,6633.783577400815,131920.96384197832
516,6633.673169832289,133288.09479402858
517,6633.562762263764,132185.55071777047
518,6633.452354695238,133070.23209205127
519,6633.3419471267125,131915.34136699655
520,6633.231539558187,132346.14031339643
521,6633.121131989661,132832.81754576607
522,6633.010724421136,131719.17403781385
523,6632.90031685261,132106.3148190455
524,6632.789909284084,132233.31041304773
525,6632.679501715558,132620.31703340544
526,6632.569094147033,132157.96372690526
527,6632.458686578508,132062.89333009176
528,6632.3482790099815,133166.3017252798
529,6632.237871441456,133262.06587958292
530,6632.12746387293,132564.41401419218
531,6632.017056304405,131147.77678081667
532,6631.906648735879,132277.86644982803
533,6631.796241167353,132695.86094163771
534,6631.685833598828,132499.9418009277
535,6631.575426030302,133435.51813028325
536,6631.465018461777,132499.8649276963
537,6631.3546108932505,131806.2981248909
538,6631.244203324725,132554.46798628385
539,6631.133795756199,132212.0043655204
540,6631.023388187674,132676.0376175891
541,6630.912980619149,132844.9633783199
542,6630.802573050622,132560.36550752923
543,6630.692165482097,133742.47338412073
544,6630.581757913571,132822.1343959518
545,6630.471350345046,132798.45040066508
546,6630.3609427765205,133311.47144126968
547,6630.250535207994,132651.6351510791
548,6630.140127639469,133295.4483383742
549,6630.029720070943,133231.19558138697
550,6629.919312502418,133359.83631938283
551,6629.808904933891,133098.34409278005
552,6629.698497365366,133241.0763130336
553,6629.588089796841,133234.81322536487
554,6629.477682228315,133031.291095791
555,6629.3672746597895,133364.36004104267
556,6629.256867091263,133032.08665405388
557,6629.146459522738,132916.55080027913
558,6629.036051954212,132831.55376746698
559,6628.925644385687,133646.6468444237
560,6628.815236817161,132910.98688312407
561,6628.704829248635,132982.27313906144
562,6628.59442168011,133737.98879253457
563,6628.484014111584,133423.86807147478
564,6628.3736065430585,133823.2260541881
565,6628.263198974532,133732.10675583265
566,6628.152791406007,133356.16033451908
567,6628.042383837482,132893.81954796755
568,6627.931976268956,133380.55583729374
569,6627.82156870043,133409.8141989197
570,6627.711161131904,133547.8586415007
571,6627.600753563379,133148.88992301884
572,6627.490345994853,133592.95032349107
573,6627.3799384263275,133970.97461890534
574,6627.269530857802,133817.8587081442
575,6627.159123289276,133415.09723547267
576,6627.048715720751,133098.16428836316
577,6626.938308152225,133304.42466597207
578,6626.827900583699,133357.03806687522
579,6626.717493015174,133551.37616732414
580,6626.607085446648,133336.72258127708
581,6626.496677878123,133895.50371838576
582,6626.3862703095965,133930.46760941824
583,6626.275862741071,134359.1027095935
584,6626.165455172545,133494.9337688652
585,6626.05504760402,133834.7213570072
586,6625.944640035495,134365.90671655902
587,6625.834232466968,134995.89877155202
588,6625.723824898443,133741.18312812303
589,6625.613417329917,134236.46096078632
590,6625.503009761392,134213.5237418873
591,6625.3926021928655,134859.10997322184
592,6625.28219462434,133965.67933231324
593,6625.171787055815,135907.3726106281
594,6625.061379487289,134197.93834969762
595,6624.950971918764,134793.02169251232
596,6624.840564350237,134476.97455421198
597,6624.730156781712,134930.72221045854
598,6624.619749213186,134042.21743333875
599,6624.509341644661,134652.04092769668
600,6624.398934076135,134933.7865295556
601,6624.288526507609,134253.07340033544
602,6624.178118939084,134094.54704968186
603,6624.067711370558,134641.87829626273
604,6623.957303802033,135483.5229431682
605,6623.846896233506,134691.54997309248
606,6623.736488664981,135764.63144892888
607,6623.626081096456,135205.79336496885
608,6623.51567352793,135185.03156409127
609,6623.4052659594045,134041.53468902237
610,6623.294858390878,135905.36031350258
611,6623.184450822353,135421.30623165335
612,6623.074043253828,136044.86873470055
613,6622.963635685302,135023.16070127263
614,6622.853228116776,135305.29819024852
615,6622.74282054825,135146.83593114602
616,6622.632412979725,135805.25964499195
617,6622.522005411199,135225.35220278328
618,6622.4115978426735,134774.79433777244
619,6622.301190274148,135359.77030168026
620,6622.190782705622,135393.6085633236
621,6622.080375137097,135214.49528448633
622,6621.969967568571,135762.19696980115
623,6621.859560000045,136974.06013124014
624,6621.749152431519,135568.76709616525
625,6621.638744862994,135654.99822868677
626,6621.528337294469,135725.68111069957
627,6621.4179297259425,135737.7153527609
628,6621.307522157417,136263.87423941877
629,6621.197114588891,135412.1603636646
630,6621.086707020366,134823.8297211934
631,6620.97629945184,135682.3455513103
632,6620.865891883314,135168.60140433494
633,6620.755484314789,135815.29168125227
634,6620.645076746263,136650.61286271847
635,6620.534669177738,135688.03860595947
636,6620.4242616092115,135921.52954929316
637,6620.313854040686,135787.04379646588
638,6620.20344647216,136388.41110020704
639,6620.093038903635,137186.86773172562
640,6619.9826313351095,136135.17170486547
641,6619.872223766583,136288.59133062355
642,6619.761816198058,136141.42353151052
643,6619.651408629532,136192.94264391236
644,6619.541001061007,135315.59773104874
645,6619.430593492481,135921.4035777266
646,6619.320185923955,136336.38721038197
647,6619.20977835543,136374.32844060374
648,6619.099370786904,135976.51317665173
649,6618.988963218379,137053.7176867128
650,6618.878555649852,136771.77503831667
651,6618.768148081327,136673.40574190905
652,6618.657740512802,136395.00274448845
653,6618.547332944276,136872.93936786195
654,6618.43692537575,136904.6437987607
655,6618.326517807224,136540.03337220798
656,6618.216110238699,137008.65040108643
657,6618.105702670173,137608.19038031512
658,6617.995295101648,136979.4806442672
659,6617.884887533122,136754.33351810244
660,6617.774479964596,136882.79932512197
661,6617.664072396071,137359.07385860823
662,6617.553664827545,136798.40590916923
663,6617.443257259019,136893.0418389386
664,6617.332849690493,137328.6033229105
665,6617.222442121968,136372.96130266902
666,6617.112034553443,137007.7896331614
667,6617.001626984917,136508.89413092058
668,6616.891219416391,137208.08054977664
669,6616.780811847865,137200.16651187127
670,6616.67040427934,137676.08417238627
671,6616.559996710814,137262.7034561485
672,6616.4495891422885,137318.79096415706
673,6616.339181573763,137360.58062332353
674,6616.228774005237,136625.41520130605
675,6616.118366436712,137337.8053935231
676,6616.007958868186,137654.4159227736
677,6615.89755129966,136515.40859571914
678,6615.787143731134,136100.81578633544
679,6615.676736162609,136449.59015612883
680,6615.566328594084,136720.20696753165
681,6615.4559210255575,137255.54959838983
682,6615.345513457032,137056.48580314056
683,6615.235105888506,137958.8881322877
684,6615.124698319981,137324.54934701152
685,6615.0142907514555,137949.02989796412
686,6614.903883182929,137761.0699988338
687,6614.793475614404,137349.870215421
688,6614.683068045878,137663.27371640052
689,6614.572660477353,137969.7768075822
690,6614.4622529088265,138425.97792916483
691,6614.351845340301,139210.4934159788
692,6614.241437771776,137737.6682417671
693,6614.13103020325,137347.0826492791
694,6614.0206226347245,137700.91832049223
695,6613.910215066198,138203.91636039718
696,6613.799807497673,138147.27145054922
697,6613.689399929147,137643.07987329367
698,6613.578992360622,138417.90791821576
699,6613.468584792096,138712.27234281236
700,6613.35817722357,138699.98176367054
701,6613.247769655045,138588.8579039489
702,6613.137362086519,138013.52755703946
703,6613.0269545179935,137951.79615733703
704,6612.916546949467,138521.4754656617
705,6612.806139380942,138290.13176646995
706,6612.695731812417,138412.23080361576
707,6612.585324243891,138774.648432719
708,6612.474916675365,138315.38769197755
709,6612.364509106839,138101.37751027144
710,6612.254101538314,138166.9063484574
711,6612.143693969788,138487.77609236576
712,6612.033286401263,138020.66606775887
713,6611.922878832737,138571.43882812004
714,6611.812471264211,138508.25864475002
715,6611.702063695686,139245.28164198858
716,6611.59165612716,138187.6318021354
717,6611.481248558634,137726.01885589949
718,6611.370840990109,138344.70964437918
719,6611.260433421583,138525.95732829045
720,6611.150025853058,137109.84992616775
721,6611.039618284532,137031.75294805714
722,6610.929210716006,137276.24180960012
723,6610.81880314748,136111.26231634928
724,6610.708395578955,137199.41402645354
725,6610.59798801043,136635.57245023514
726,6610.487580441903,137500.00322945006
727,6610.377172873378,137384.0851079493
728,6610.266765304852,137684.62119277715
729,6610.156357736327,137589.65787312965
730,6610.045950167801,137945.97726368418
731,6609.935542599275,138334.40002840932
732,6609.82513503075,137670.87273829585
733,6609.714727462224,138592.442394253
734,6609.604319893699,138474.2197575443
735,6609.4939123251725,138773.82995340123
736,6609.383504756647,138391.5451849963
737,6609.273097188121,138537.56431502482
738,6609.162689619596,139027.84172708125
739,6609.0522820510705,139291.54742606558
740,6608.941874482544,139174.822672723
741,6608.831466914019,139012.0540822136
742,6608.721059345493,139880.9873888425
743,6608.610651776968,138708.50041164926
744,6608.5002442084415,140207.57883330982
745,6608.389836639916,138911.9693503076
746,6608.279429071391,139568.8100755518
747,6608.169021502865,138338.27744045758
748,6608.0586139343395,138417.0598122284
749,6607.948206365813,139205.95292990853
750,6607.837798797288,140094.61605344538
751,6607.727391228762,138998.22312837892
752,6607.616983660237,139352.6854612768
753,6607.506576091711,139212.14292327507
754,6607.396168523185,139523.28400355793
755,6607.28576095466,140199.7842045091
756,6607.175353386134,138680.59532080096
757,6607.0649458176085,139689.70443885576
758,6606.954538249083,140483.81661868846
759,6606.844130680557,140167.56474245508
760,6606.733723112032,140899.7683968331
761,6606.623315543506,140051.53877061553
762,6606.51290797498,140432.36513615967
763,6606.402500406454,139769.31280686977
764,6606.292092837929,140731.23422371974
765,6606.181685269404,140445.67537643603
766,6606.0712777008775,139498.9878804516
767,6605.960870132352,140092.48167493072
768,6605.850462563826,140550.069328941
769,6605.740054995301,140161.70217384037
770,6605.629647426775,140144.37791457886
771,6605.519239858249,140087.38496764115
772,6605.408832289724,140082.2882603516
